# ID,Conference,Nickname,Alias 0,Alias 1,...Alias n
145,Conference USA,Blazers,University of Alabama at Birmingham,UAB
146,Conference USA,Miners,University of Texas at El Paso,UTEP
147,Conference USA,Roadrunners,University of Texas at San Antonio,UTSA
148,Conference USA,Hilltoppers,Western Kentucky University,Western Kentucky
149,Horizon League,Vikings,Cleveland State University,Cleveland State
150,Horizon League,Titans,University of Detroit Mercy,Detroit Mercy
151,Horizon League,Jaguars,Indiana University – Purdue University Indianapolis,IUPUI
152,Horizon League,Panthers,University of Wisconsin-Milwaukee,Milwaukee
153,Horizon League,Norse,Northern Kentucky University,Northern Kentucky
154,Horizon League,Golden Grizzlies,Oakland University,Oakland
155,Horizon League,Flames,University of Illinois at Chicago,UIC
156,Horizon League,Phoenix,University of Wisconsin–Green Bay,Green Bay
157,Horizon League,Raiders,Wright State University,Wright State
158,Horizon League,Penguins,Youngstown State University,Youngstown State
159,Ivy League,Bears,Brown University,Brown
160,Ivy League,Lions,Columbia University,Columbia
161,Ivy League,Big Red,Cornell University,Cornell
162,Ivy League,Big Green,Dartmouth College,Dartmouth
163,Ivy League,Crimson,Harvard University,Harvard
164,Ivy League,Quakers,University of Pennsylvania,Penn
165,Ivy League,Tigers,Princeton University,Princeton
166,Ivy League,Bulldogs,Yale University,Yale
167,MAAC,Golden Griffins,Canisius College,Canisius
168,MAAC,Stags,Fairfield University,Fairfield
169,MAAC,Gaels,Iona College,Iona
170,MAAC,Jaspers,Manhattan College,Manhattan
171,MAAC,Red Foxes,Marist College,Marist
172,MAAC,Hawks,Monmouth University,Monmouth
173,MAAC,Purple Eagles,Niagara University,Niagara
174,MAAC,Bobcats,Quinnipiac University,Quinnipiac,QUINN
175,MAAC,Broncs,Rider University,Rider
176,MAAC,Peacocks,Saint Peter's University,Saint Peter's
177,MAAC,Saints,Siena College,Siena
178,MAC,Zips,University of Akron,Akron
179,MAC,Cardinals,Ball State University,Ball State
180,MAC,Falcons,Bowling Green State University,Bowling Green,BOWLG
181,MAC,Bulls,University at Buffalo,Buffalo,BUFF
182,MAC,Chippewas,Central Michigan University,Central Michigan,Cent Michigan,CMICH
183,MAC,Eagles,Eastern Michigan University,Eastern Michigan,E Michigan,EMICH
184,MAC,Golden Flashes,Kent State University,Kent State
185,MAC,RedHawks,Miami University,Ohio
